VIF Factor,features
80.02023194523312,Intercept
2.3596013931305544,EU
1.6723678223881064,Retirement
1.9040665601569935,SP_MainStory
4.108600920520873,SP_Main_Extras
4.401497778584855,SP_Completionists
2.2361570965863065,N_PC
1.188846268750935,N_Nintendo3DS
1.179997481810724,N_SegaMasterSystem
2.3296710808874335,N_PlayStation3
1.7246233189706357,N_PlayStation4
2.239359049410689,N_Xbox360
1.1699097932474767,N_NintendoSwitch
1.894880241293837,N_XboxOne
1.1485724148558372,N_NES
1.1142852622560528,N_PlayStationVita
1.250710383320704,N_PlayStation
1.2324180057729937,N_Mobile
1.1335630921182112,N_WiiU
1.2321288885862478,N_GameBoyAdvance
1.020602211993048,N_ZXSpectrum
2.391715779389876,N_Arcade
1.2558323900147637,N_SegaMegaDrive_Genesis
1.2839451958925756,N_PlayStation2
1.3667414021460795,N_NintendoDS
1.1824414792002589,N_PSP
1.1418464572774238,N_NintendoGameCube
1.1203979687969339,N_SegaSaturn
1.1578771749341807,N_Wii
1.1310783054429079,N_Amiga
1.4675996322348688,N_GameBoyColor
,N_NECPC_9801_21
1.1586587194239986,N_Nintendo64
1.2135147849112071,N_SuperNintendo
1.0406246102642618,N_GoogleStadia
1.335339996550775,N_Atari2600
1.0642681589448377,N_Browser
1.1347118830516885,N_Xbox
1.562680156070013,N_GameBoy
,N_N_Gage
,N_VirtualBoy
1.1793201812243892,N_PCVR
1.788647904580058,N_PlayStationNow
1.2494540136370336,N_OculusQuest
1.0942740194195641,N_Dreamcast
1.0834376655108318,N_SegaCD
1.0347665396415768,N_AppleII
2.2546237896627095,N_TurboGrafx_16
1.2773839966192606,N_AtariJaguar
1.196743757314111,N_OnLive
1.1347098917021905,N_SegaGameGear
1.325980372927922,N_AtariLynx
2.1722568774064057,N_TurboGrafx_CD
1.0544115708965,N_Commodore64
2.7068844517979054,N_NeoGeoPocket
,N_Atari5200
1.1697311329190756,N_Sega32X
,N_WonderSwan
,N_Atari7800
,N_Game_Watch
1.0304989752337192,N_3DO
1.0549088010902745,N_Ouya
1.1086759206801287,N_MSX
2.51774051729472,N_NeoGeoCD
1.5360970169681178,G_Scrolling
1.9931823054948943,G_Shooter
1.211178186879218,G_Top_Down
1.2453642807278775,G_Real_Time
1.5220726029060292,G_Action
1.82878373135984,G_Role_Playing
1.7070226090087304,G_First_Person
